timestamp_et,trade_date_et,slot,event_type,detail
2026-04-06T15:30:05.882298-04:00,2026-04-06,manage_1530,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T15:35:05.886061-04:00,2026-04-06,manage_1530,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T15:40:05.890163-04:00,2026-04-06,manage_1530,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T15:55:05.885666-04:00,2026-04-06,manage_1600,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-06T16:00:05.887844-04:00,2026-04-06,manage_1600,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T09:30:05.896974-04:00,2026-04-07,data_refresh,data_refresh,{'saved': 99}
2026-04-07T09:35:05.899056-04:00,2026-04-07,manage_0930,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T09:40:05.898554-04:00,2026-04-07,manage_0930,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T09:55:05.880017-04:00,2026-04-07,manage_1000,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T10:00:05.892155-04:00,2026-04-07,manage_1000,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T10:05:05.888815-04:00,2026-04-07,manage_1000,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T10:10:05.890428-04:00,2026-04-07,manage_1000,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T10:25:05.889349-04:00,2026-04-07,manage_1030,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T10:30:05.884012-04:00,2026-04-07,manage_1030,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T10:35:05.885837-04:00,2026-04-07,manage_1030,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T10:40:05.892021-04:00,2026-04-07,manage_1030,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T10:55:05.886961-04:00,2026-04-07,manage_1100,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T11:00:05.892871-04:00,2026-04-07,manage_1100,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T11:05:05.886675-04:00,2026-04-07,manage_1100,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T11:10:00.929829-04:00,2026-04-07,manage_1100,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T11:25:05.887847-04:00,2026-04-07,manage_1130,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T11:30:02.894028-04:00,2026-04-07,manage_1130,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T11:35:05.890463-04:00,2026-04-07,manage_1130,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T11:40:05.887766-04:00,2026-04-07,manage_1130,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T11:50:05.887768-04:00,2026-04-07,manage_1200,exit,"{""contract_symbol"": ""HON260515C00230000"", ""pnl"": -1120.0, ""reason"": ""stop_loss_hit_at_scan"", ""return_pct"": -21.62, ""ticker"": ""HON""}"
2026-04-07T11:55:05.888145-04:00,2026-04-07,manage_1200,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T12:00:02.896423-04:00,2026-04-07,manage_1200,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T12:05:00.898216-04:00,2026-04-07,manage_1200,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T12:10:05.880109-04:00,2026-04-07,manage_1200,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T12:25:00.895869-04:00,2026-04-07,manage_1230,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T12:30:00.912059-04:00,2026-04-07,manage_1230,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T12:35:03.878614-04:00,2026-04-07,manage_1230,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T12:40:05.895143-04:00,2026-04-07,manage_1230,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T12:55:00.916656-04:00,2026-04-07,manage_1300,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T13:00:02.895617-04:00,2026-04-07,manage_1300,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T13:05:02.889424-04:00,2026-04-07,manage_1300,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T13:10:04.926634-04:00,2026-04-07,manage_1300,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T13:25:05.882654-04:00,2026-04-07,manage_1330,slot_skipped,"{""reason"": ""already_processed""}"
2026-04-07T13:30:05.887210-04:00,2026-04-07,manage_1330,slot_skipped,"{""reason"": ""already_processed""}"
